prompt_family,0,1,2,3,4,5,6
Clarify-first,0.18307866440294285,0.12376910016977928,0.38290888511601584,0.14142614601018677,0.04408602150537634,0.07266553480475382,0.0520656479909451
Developer-mode,0.2106067466606294,0.14189495132442834,0.16855331673081278,0.32148517093049583,0.04250622594521168,0.09967172288883858,0.015281865519583427
Helpful-baseline,0.15138653084323714,0.12354272778720995,0.133616298811545,0.44550084889643465,0.009054895302773062,0.09547255234861347,0.04142614601018676
Hierarchy-first,0.22903225806451613,0.1414827391058291,0.2497453310696095,0.21709111488398417,0.05025466893039049,0.0932088285229202,0.019185059422750426
Refuse-first,0.2739981888159384,0.12197192664704551,0.20302241340276206,0.21230473171836087,0.05450532035318089,0.08297486982114557,0.051222549241566676
Roleplay-jailbreak,0.21544991511035655,0.10792303338992643,0.047142048670062255,0.5306168647425014,0.0019241652518392756,0.08313525749858518,0.013808715336728918
